game_number,120,150,180,210,240,300,label_code,label,predicted_limit,predicted_direction,correct
142,0.0338179181929182,0.29027247262541384,0.3397300847300847,0.18555555011437366,0.1102117993662111,0.04041217497099849,6,300,180,Under,False
143,0.07673305860805861,0.184662074037074,0.4048579892329891,0.25373314185814183,0.0678609584859585,0.012152777777777778,3,180,180,Under,True
144,0.0763738344988345,0.24333929958929962,0.301449383949384,0.27804022366522363,0.1007972582972583,0.0,3,180,210,Under,True
145,0.05465277777777777,0.32327651515151506,0.37452380952380954,0.17931457431457432,0.06823232323232323,0.0,2,150,180,Under,True
146,0.1982296176046176,0.15532918470418472,0.3628120490620491,0.22189303751803752,0.061736111111111124,0.0,3,180,180,Under,True
147,0.11327620296370297,0.2272000568875569,0.3131014818514818,0.25782096375846375,0.06257107475857475,0.026030219780219778,2,150,180,Under,True
148,0.01583333333333333,0.08841623654123655,0.31945283882783876,0.2866127622377622,0.25494581807081806,0.034739010989010985,4,210,180,Over,True
149,0.11117063492063492,0.156001221001221,0.4125457875457875,0.13246108058608058,0.17869429181929183,0.009126984126984126,4,210,180,Under,False
150,0.04016802641802641,0.1732449494949495,0.4830486874236873,0.23964944777444774,0.06388888888888888,0.0,2,150,180,Under,True
151,0.06346133033633033,0.21550255300255303,0.3351757270507271,0.341645646020646,0.04020833333333333,0.004006410256410256,2,150,210,Under,True
152,0.05292748917748917,0.24313977688977687,0.19172306859806862,0.40128080253080245,0.08506576756576757,0.025863095238095234,4,210,210,Under,True
153,0.18306575369075367,0.2746562118437118,0.20747786935286938,0.2461116661116661,0.07956151487401487,0.009126984126984126,4,210,180,Under,False
154,0.07605654761904761,0.20220456626706626,0.36064355783105784,0.24655611749361755,0.10620587745587744,0.008333333333333333,2,150,210,Under,True
155,0.14086399711399708,0.21446256153976742,0.32305998535777947,0.26099360198624905,0.060619854002206944,0.0,3,180,180,Under,True
156,0.024401709401709402,0.13318098160009925,0.29162815942227704,0.4493428875046521,0.10144626207126209,0.0,4,210,210,Under,True
157,0.020716089466089466,0.12537386224886224,0.3235995254745255,0.40686840936840935,0.10674568487068485,0.016696428571428574,4,210,210,Under,True
158,0.12793560606060603,0.2217523448773449,0.38939935064935066,0.17849206349206354,0.08242063492063492,0.0,2,150,180,Under,True
159,0.05075396825396825,0.14579004329004328,0.15159361471861474,0.36108270202020204,0.2564493145743145,0.03433035714285714,4,210,180,Over,True
160,0.09491022866022868,0.24310894987365575,0.2692138988462518,0.3240745365745365,0.06869238604532721,0.0,2,150,210,Under,True
161,0.047316919191919195,0.15484036796536796,0.3952430902430902,0.3465091158841158,0.05192384004884004,0.004166666666666667,2,150,210,Under,True
162,0.07113275613275613,0.2155442474192474,0.5569276556776555,0.1133596264846265,0.043035714285714274,0.0,3,180,180,Under,True
163,0.09678373709623708,0.2847515331890332,0.22633758602508602,0.3140780747030748,0.07804906898656896,0.0,4,210,210,Under,True
164,0.0460218253968254,0.24869859307359304,0.2697197247197247,0.3776937645687647,0.036505161505161504,0.02136093073593074,2,150,210,Under,True
165,0.16973443223443224,0.32424318736818736,0.2975126262626263,0.11084894272394272,0.08873223998223997,0.008928571428571428,1,120,180,Under,True
166,0.07643939393939393,0.2597041847041847,0.5206331168831169,0.10608044733044734,0.037142857142857144,0.0,4,210,180,Under,False
167,0.08469426406926406,0.1988079281829282,0.19108551171051175,0.3689359251859251,0.11058170995670995,0.04589466089466089,3,180,210,Under,True
168,0.07315476190476192,0.11148268398268399,0.30168706293706293,0.4500039543789544,0.0636715367965368,0.0,4,210,210,Under,True
169,0.0964264208014208,0.2245784077034077,0.3999506743256743,0.10215902153402152,0.15279456654456655,0.02409090909090909,4,210,180,Under,False
170,0.04590277777777778,0.22659361471861467,0.4435962648462648,0.18748334998334998,0.09642399267399268,0.0,2,150,180,Under,True
171,0.01388888888888889,0.09764069264069265,0.22078595016095015,0.547563616938617,0.10900974025974024,0.01111111111111111,2,150,180,Over,False
172,0.05468524531024531,0.07877976190476191,0.36705627705627697,0.43902146464646463,0.04775883838383838,0.012698412698412698,3,180,210,Under,True
173,0.0812784090909091,0.16970859002109004,0.2793051046176046,0.3863799741924743,0.0805501443001443,0.0027777777777777775,4,210,210,Under,True
174,0.08566829004329005,0.19973755411255406,0.28372745310245306,0.22772637085137082,0.19189033189033192,0.01125,3,180,210,Under,True
175,0.10709776334776336,0.18294420856920857,0.32518696581196577,0.22216408591408596,0.15357919857919858,0.009027777777777777,3,180,210,Under,True
176,0.0455214923964924,0.2707516095016095,0.1691958041958042,0.39485396547896545,0.11513167388167386,0.004545454545454545,4,210,210,Under,True
177,0.033680555555555554,0.17436788905538908,0.2216080447330447,0.34470036907536905,0.1078517316017316,0.11779140997891,5,240,180,Over,True
178,0.02909722222222222,0.17254329004329003,0.5585506854256855,0.16209776334776335,0.07771103896103897,0.0,2,150,180,Under,True
179,0.0661453823953824,0.30957882395382397,0.4152219308469308,0.14447052947052946,0.06458333333333334,0.0,3,180,180,Under,True
180,0.07767045454545454,0.18160138472638476,0.2551592851592851,0.38738497613497613,0.06530691530691532,0.03287698412698413,3,180,210,Under,True
181,0.030515873015873017,0.2120848595848596,0.23674145299145297,0.42680326617826614,0.08760454822954823,0.00625,4,210,210,Under,True
182,0.034613095238095234,0.08327380952380953,0.41193126318126316,0.36590222277722273,0.09686202686202686,0.007417582417582417,6,300,210,Under,False
183,0.05768967143967144,0.32735670579420584,0.23053165584415583,0.320954705017205,0.05577876984126984,0.007688492063492064,1,120,210,Under,True
184,0.08217261904761905,0.29442144660894665,0.34948142135642135,0.14175685425685428,0.13216765873015873,0.0,2,150,180,Under,True
185,0.19175312432665373,0.3111543399411046,0.3399000754147812,0.0931845238095238,0.0515079365079365,0.0125,2,150,180,Under,True
186,0.04756944444444444,0.14229365405835992,0.4386294832618362,0.21711760461760465,0.1158977501256913,0.0384920634920635,1,120,210,Under,True
187,0.055069444444444435,0.13419282106782104,0.19278318903318903,0.5759686147186149,0.03244047619047619,0.009545454545454546,2,150,210,Under,True
188,0.04548576423576424,0.3347899322899323,0.347521645021645,0.17047646797646798,0.10172619047619047,0.0,3,180,180,Under,True
189,0.1261492673992674,0.21856789044289043,0.3136295648795649,0.2677676143301143,0.04637619325119324,0.027509469696969695,2,150,180,Under,True
190,0.039183059587471356,0.2620381701631702,0.5537191770647654,0.11696227383727383,0.02531954156954157,0.0027777777777777775,2,150,180,Under,True
191,0.039745670995670994,0.14407693001443003,0.31139544483294485,0.36555735930735933,0.13240641303141304,0.006818181818181818,5,240,210,Under,False
192,0.019166666666666665,0.1233206376956377,0.31478639416139415,0.4657894882894883,0.037257326007326015,0.039679487179487175,3,180,210,Under,True
193,0.037321428571428575,0.04057477244977245,0.4523956598956599,0.40898851148851145,0.04395375457875458,0.01676587301587302,4,210,210,Under,True
194,0.09087662337662339,0.14137737262737263,0.26640297202797203,0.21448405760905756,0.2189892052392053,0.06786976911976911,3,180,180,Over,False
195,0.0151984126984127,0.17803162115662113,0.21688945858063505,0.3176854354795531,0.20089944777444782,0.0712956243103302,4,210,180,Over,True
196,0.08277777777777777,0.10796439671439673,0.19438131313131313,0.3508017676767677,0.22161747974247975,0.04245726495726496,4,210,180,Over,True
